key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
18,1,1,48,20,8664685,8664762,69629,0,0,0,"試作飛行型魔導アーマー「ブラックバーン」","ヘルダイバーの改良機と思しき
試作飛行型魔導アーマーが飛来した
ブラックバーンを倒せ",0,0,0
19,2,3,1,20,8664686,8664763,69620,0,4,0,"非業の強化兵「ハイパーチューンド・ダボグ」","機械化歩兵大隊の強化兵ダボグが
おぞましき生体兵器に改造された
ハイパーチューンド・ダボグを倒せ",0,0,0
20,1,8,48,20,8664687,8664764,69620,0,0,0,"模造密告者「IVレギオン・シュミハザ」","魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・シュミハザを倒せ",0,0,0
21,1,4,48,20,8664688,8664765,69620,0,0,0,"焦土の魔蠍「ヘデテト」","魔獣大隊のビーストマスターが
ザ・バーンで捕獲した魔蠍を解き放った
焦土の魔蠍、ヘデテトを倒せ",0,0,0
22,3,7,48,20,8664689,8664766,69628,0,0,0,"鋼鉄の人馬「魔導騎兵大隊」","第IV軍団が増援部隊として
無人型魔導兵器を投入した
魔導騎兵大隊を一掃せよ",0,0,0
23,2,3,1,20,8664690,8664767,69628,0,5,0,"第IV軍団分遣隊長「メネニウス」","ボズヤ駐留軍を指揮する分遣隊長
メネニウスから挑戦を受けた
一騎打ちに応じ、メネニウスを倒せ",0,0,0
24,1,2,48,20,8664691,8664768,69628,0,0,0,"異界の廃王「ハンビ」","術士大隊の妖術士が
血を求める大妖異を召喚した
異界の廃王、ハンビを倒せ",0,0,0
25,1,2,48,20,8664692,8664769,69628,0,0,0,"邪悪なる氷狼「フローズヴィトニル」","術士大隊の妖術士が
魔力を練り上げ使い魔を召喚した
邪悪なる氷狼、フローズヴィトニルを倒せ",0,0,0
26,1,8,48,20,8664693,8664770,69628,0,0,0,"模造魔人「IVレギオン・ベリアス」","魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・ベリアスを倒せ",0,0,0
27,3,1,48,20,8664694,8664771,69629,0,0,0,"新兵器投入「機甲百人隊」","機械化歩兵大隊の魔導技師長シシニアスが
新型を含む魔導兵器群を戦場に送り込んだ
機甲百人隊をせん滅せよ",0,0,0
28,1,4,48,20,8664695,8664772,69629,0,0,0,"有角の凶鳥「アルコノスト」","魔獣大隊の鳥使いが
戦線を押し上げるべく切り札を投入した
有角の凶鳥、アルコノストを倒せ",0,0,0
29,1,8,48,20,8664696,8664773,69620,0,0,0,"模造統制者「IVレギオン・ハシュマリム」","魔導僧兵大隊の異端僧兵が
命を賭して聖石片の力を解放した
IVレギオン・ハシュマリムを倒せ",0,0,0
30,1,2,48,20,8664697,8664774,69629,0,0,0,"輝ける虹蛇「アイダ」","術士大隊が戦線を支えるべく
新たな魔法生物を召喚した
輝ける虹蛇、アイダを倒せ",0,0,0
31,2,3,1,20,8664698,8664775,69629,0,6,0,"戦慄の百獣使い「獣王ライアン」","猛者を探し求める千人隊長
ライアンから挑戦を受けた
一騎打ちに応じ、獣王ライアンを倒せ",0,0,0
32,4,6,48,20,0,0,69624,5,0,9678,"旗艦ダル･リアータ攻略戦","敵旗艦は行動不能に陥った
今こそ仲間たちと共に乗り込み
その最奥に潜む敵を討て",222,302,-661
