key,0,1,2,3,4,5,6,7
22,"ロックバスター","対象に土属性魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>85
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>敵視アップ",786,787,4,True,False,False
23,"マウンテンバスター","自身の周囲の敵に土属性範囲魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>70
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>敵視アップ
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,788,4,True,False,False
24,"大地の守り","一定時間、ペット自身の被ダメージを20％軽減させる。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,789,4,True,False,False
25,"ランドスライド","対象に土属性魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>70
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>スタン　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>2秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,790,4,True,False,False
26,"大地の怒り","自身の周囲の敵に土属性範囲魔法攻撃　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>200
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>ダメージエリアを生成する。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒
マスターが<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「エンキンドル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を実行することで使用する。",786,791,4,True,False,False
27,"クリムゾンサイクロン","対象に火属性魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>110
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>スタン　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>2秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,797,3,True,False,False
28,"バーニングストライク","対象に火属性魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>135",786,798,3,True,False,False
29,"光輝の盾","自身と周囲のパーティメンバーにバリアを張る。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>バリア効果（被攻撃時、発動確率100％）：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>攻撃者の被物理ダメージを2％上昇させる。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>4秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,799,3,True,False,False
30,"フレイミングクラッシュ","自身の周囲の敵に火属性範囲魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>110
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,800,3,True,False,False
31,"地獄の火炎","対象に向かって火属性前方扇範囲魔法攻撃。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>200
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>追加効果：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>対象に火属性の継続ダメージを付与する
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>威力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>15秒
マスターが<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「エンキンドル」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>を実行することで使用する。",786,801,3,True,False,False
32,"光の癒し","対象のＨＰを回復する。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>回復力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>250",786,802,6,True,False,False
33,"光の囁き","自身と周囲のパーティメンバーのＨＰを継続回復する。
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>回復力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>120　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>21秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,803,6,True,False,False
34,"フェイコヴナント","一定時間、自身の周囲のパーティメンバーの魔法防御力を20％上昇させる。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,804,6,True,False,False
35,"フェイイルミネーション","一定時間、自身と周囲のパーティメンバーの回復魔法の回復量を10％上昇させる。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>20秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,805,6,True,False,False
36,"光の癒し","対象のＨＰを回復する。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>回復力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>250",786,806,7,True,False,False
37,"光の沈黙","対象に沈黙を付与する。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>1秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>",786,807,7,True,False,False
38,"フェイカレス","周囲のパーティメンバーが受けている一部の弱体効果を1つ解除する。<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,810,7,True,False,False
39,"フェイウィンド","一定時間、自身と周囲のパーティメンバーのオートアタックの攻撃間隔と、ウェポンスキルおよび魔法のキャストタイムとリキャストタイムを3％短縮させる。　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>効果時間：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>30秒
<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>「セミオーダー」<UIGlow>01</UIGlow><UIForeground>01</UIForeground>状態では命令を受けるまで実行しない。",786,811,7,True,False,False
40,"アタックモード","攻撃を行う状態。",405,0,8,True,False,False
41,"サポートモード","補助効果を発生させる状態。",405,0,8,True,False,False
42,"","",405,7428,10,True,False,False
43,"","",405,7449,10,True,False,False
44,"","",405,7450,0,True,False,False
45,"","",405,7416,8,True,False,False
46,"","",405,7417,9,True,False,False
47,"","",405,7438,0,True,False,False
48,"","",405,7440,0,True,False,False
49,"","",405,7441,0,True,False,False
50,"","",405,8879,0,True,False,False
51,"","",405,8881,0,True,False,False
52,"","",405,9127,0,True,False,False
